ProductionDate,BatchID,Product,MachineID,OperatorID,Shift,ProductionTime_min,Temperature_C,Humidity_pct,Pressure_kPa,Speed_units_per_min,QualityScore,DefectCount,QualityLabel
2024-04-12,B1000,A,M3,O12,Morning,33.1,26.2,45.08,98.84,48.31,77.0,3,Pass
2024-12-14,B1000,A,M1,O4,Afternoon,19.4,23.66,45.14,101.92,50.62,78.56,1,Pass
2024-09-27,B1000,A,M2,O2,Morning,24.8,17.37,51.24,101.16,54.72,78.57,1,Pass
2024-04-16,B1000,B,M1,O12,Night,26.9,22.4,43.74,99.38,52.85,95.21,0,Pass
2024-03-12,B1000,A,M1,O6,Afternoon,21.5,20.22,50.96,100.13,60.41,84.91,1,Pass
2024-07-07,B1000,A,M5,O11,Morning,27.0,22.7,44.07,100.96,68.83,94.98,0,Pass
2024-01-21,B1000,B,M2,O2,Morning,21.6,18.35,44.62,100.25,70.83,77.49,2,Pass
2024-04-12,B1000,A,M5,O12,Morning,31.0,21.37,,101.93,56.08,79.63,1,Pass
2024-05-01,B1000,B,M2,O7,Afternoon,22.6,20.45,60.95,101.63,40.38,81.27,1,Pass
2024-08-02,B1000,B,M4,O3,Morning,30.2,20.36,,101.59,47.52,77.5,1,Pass
2024-11-26,B1001,C,M4,O3,Afternoon,37.0,20.39,57.47,99.22,53.76,85.79,1,Pass
2024-03-28,B1001,B,M3,O5,Morning,34.7,21.59,63.99,100.88,45.06,83.38,0,Pass
2024-04-09,B1001,A,M3,O3,Afternoon,29.5,22.86,65.57,100.74,73.69,77.88,1,Pass
2024-12-25,B1001,B,M3,O2,Night,24.1,14.5,55.2,100.54,45.85,94.49,0,Pass
2024-05-31,B1001,A,M2,O10,Night,31.0,14.87,39.43,100.97,67.4,91.45,0,Pass
2024-05-10,B1001,A,M5,O9,Night,25.8,20.98,56.3,100.4,39.82,81.71,1,Pass
2024-05-29,B1001,B,M5,O2,Morning,31.2,21.41,41.31,101.47,67.89,85.69,2,Pass
2024-11-04,B1001,A,M5,O11,Morning,19.7,22.57,46.57,101.91,58.33,92.06,0,Pass
2024-09-14,B1001,B,M1,O2,Afternoon,34.8,19.82,,101.84,78.15,92.45,0,Pass
2024-12-09,B1001,C,M4,O8,Morning,30.2,22.03,41.95,101.19,46.42,87.99,1,Pass
2024-10-20,B1002,C,M5,O9,Afternoon,43.3,22.38,38.54,102.9,53.23,93.14,0,Pass
2024-07-10,B1002,C,M1,O7,Morning,37.8,19.8,54.66,102.21,55.55,93.9,0,Pass
2024-10-03,B1002,A,M1,O3,Morning,33.4,25.04,68.67,101.22,58.17,63.76,2,Fail
2024-06-09,B1002,A,M4,O9,Morning,29.3,22.53,62.43,100.91,55.85,81.34,0,Pass
2024-11-09,B1002,B,M3,O3,Night,25.6,23.64,57.07,102.37,56.08,81.95,1,Pass
2024-01-22,B1002,A,M5,O5,Morning,35.7,22.21,59.79,102.11,55.88,86.74,1,Pass
2024-09-09,B1002,B,M1,O9,Afternoon,28.6,28.31,,100.17,35.15,86.9,2,Pass
2024-08-23,B1002,B,M4,O12,Morning,37.0,23.79,54.5,102.17,71.92,82.0,1,Pass
2024-12-10,B1002,B,M2,O3,Afternoon,32.4,,58.99,101.18,94.33,84.05,2,Pass
2024-02-18,B1002,A,M1,O7,Morning,32.4,24.46,36.32,100.61,63.58,96.69,0,Pass
2024-02-28,B1003,A,M1,O12,Night,33.6,17.09,51.99,99.72,46.37,86.97,0,Pass
2024-06-18,B1003,A,M5,O1,Night,24.5,22.36,49.19,101.08,47.59,79.42,0,Pass
2024-07-06,B1003,A,M4,O4,Morning,23.9,22.96,50.79,101.29,67.36,81.74,0,Pass
2024-09-27,B1003,C,M3,O4,Night,23.7,22.39,45.39,102.57,64.63,83.75,0,Pass
